As of Date,Facility County,Patients Age Less Than 1 Year,Patients Age 1 To 4 Years,Patients Age 5 to 19 Years,Patients Age 20 to 44 Years,Patients Age 45 to 54 Years,Patients Age 55 to 64 Years,Patients Age 65 to 74 Years,Patients Age 75 to 84 Years,Patients Age Greater Than 85 Years
3/26/20,ALBANY,1,0,0,1,0,7,7,4,2
3/26/20,ALLEGANY,0,0,0,0,0,0,0,0,0
3/26/20,BRONX,3,1,6,134,109,163,164,125,31
3/26/20,BROOME,0,0,0,1,1,0,1,3,0
3/26/20,CATTARAUGUS,0,0,0,0,0,0,0,0,0
3/26/20,CAYUGA,0,0,0,0,0,0,0,0,0
3/26/20,CHAUTAUQUA,0,0,0,0,0,0,0,0,0
3/26/20,CHEMUNG,0,0,0,0,0,0,0,1,0
3/26/20,CHENANGO,0,0,0,0,0,0,0,0,0
3/26/20,CLINTON,0,0,0,0,1,0,2,0,1
3/26/20,COLUMBIA,0,0,0,0,1,0,0,0,0
3/26/20,CORTLAND,0,0,0,0,0,0,0,0,0
3/26/20,DELAWARE,0,0,0,0,0,0,0,0,0
3/26/20,DUTCHESS,0,0,0,3,7,10,9,7,3
3/26/20,ERIE,0,0,0,15,4,10,8,7,3
3/26/20,ESSEX,0,0,0,0,0,0,0,0,0
3/26/20,FRANKLIN,0,0,0,0,0,0,0,0,0
3/26/20,FULTON,0,0,0,0,0,0,0,0,0
3/26/20,GENESEE,0,0,0,1,0,1,0,0,1
3/26/20,HERKIMER,0,0,0,0,0,0,0,0,0
3/26/20,JEFFERSON,0,0,0,0,0,0,0,0,0
3/26/20,KINGS,2,1,1,131,138,220,257,194,88
3/26/20,LEWIS,0,0,0,0,0,0,0,0,0
3/26/20,LIVINGSTON,0,0,0,0,0,0,0,0,0
3/26/20,MADISON,0,0,0,0,0,0,1,0,0
3/26/20,MONROE,0,0,0,2,6,5,6,11,1
3/26/20,MONTGOMERY,0,0,0,0,0,2,2,0,0
3/26/20,NASSAU,0,0,1,74,127,172,173,122,82
3/26/20,NEW YORK,5,1,12,246,220,318,328,238,132
3/26/20,NIAGARA,0,0,0,1,0,0,0,1,0
3/26/20,ONEIDA,0,0,0,0,0,1,0,1,0
3/26/20,ONONDAGA,0,0,0,2,7,1,4,3,2
3/26/20,ONTARIO,0,0,0,0,0,0,3,0,0
3/26/20,ORANGE,0,0,0,8,12,14,14,5,9
3/26/20,ORLEANS,0,0,0,0,0,0,0,1,0
3/26/20,OSWEGO,0,0,0,0,0,0,0,0,0
3/26/20,OTSEGO,0,0,0,0,1,2,2,1,0
3/26/20,PUTNAM,0,0,0,0,0,2,0,3,1
3/26/20,QUEENS,0,0,3,241,240,266,238,176,85
3/26/20,RENSSELAER,0,0,0,0,0,0,0,1,0
3/26/20,RICHMOND,0,0,0,26,36,48,48,41,17
3/26/20,ROCKLAND,0,0,1,5,2,11,8,3,1
3/26/20,SARATOGA,0,0,0,0,0,1,1,1,0
3/26/20,SCHENECTADY,0,0,0,2,2,0,2,3,3
3/26/20,SCHOHARIE,0,0,0,0,0,0,0,0,0
3/26/20,SCHUYLER,0,0,0,0,0,0,0,0,0
3/26/20,ST.LAWRENCE,0,0,0,0,0,0,0,0,0
3/26/20,STEUBEN,0,0,0,0,0,0,0,0,0
3/26/20,SUFFOLK,0,0,0,37,62,69,73,53,37
3/26/20,SULLIVAN,0,0,0,1,1,0,0,1,0
3/26/20,TOMPKINS,0,0,0,2,0,0,0,0,0
3/26/20,ULSTER,0,0,0,0,1,1,1,2,2
3/26/20,WARREN,0,0,0,0,0,0,0,0,1
3/26/20,WAYNE,0,0,0,0,0,0,1,0,0
3/26/20,WESTCHESTER,0,0,2,40,51,71,86,57,38
3/26/20,WYOMING,0,0,0,0,0,0,0,0,0
3/26/20,YATES,0,0,0,0,0,0,0,0,0
3/27/20,ALBANY,0,0,0,1,0,6,6,4,1
3/27/20,ALLEGANY,0,0,0,0,0,0,0,0,0
3/27/20,BRONX,4,1,6,147,129,200,177,128,34
3/27/20,BROOME,0,0,0,1,2,0,1,1,0
3/27/20,CATTARAUGUS,0,0,0,0,0,0,0,0,0
3/27/20,CAYUGA,0,0,0,0,0,0,0,0,0
3/27/20,CHAUTAUQUA,0,0,0,0,0,0,0,0,0
3/27/20,CHEMUNG,0,0,0,0,0,0,0,1,0
3/27/20,CHENANGO,0,0,0,0,0,0,0,1,0
3/27/20,CLINTON,0,0,0,0,1,0,2,0,1
3/27/20,COLUMBIA,0,0,0,0,1,0,0,1,0
3/27/20,CORTLAND,0,0,0,0,0,0,0,0,0
3/27/20,DELAWARE,0,0,0,0,0,0,0,0,0
3/27/20,DUTCHESS,0,0,0,2,6,16,7,7,3
3/27/20,ERIE,0,0,1,15,7,9,11,7,2
3/27/20,ESSEX,0,0,0,0,0,0,0,0,0
3/27/20,FRANKLIN,0,0,0,0,0,0,0,0,0
3/27/20,FULTON,0,0,0,0,0,0,0,0,0
3/27/20,GENESEE,0,0,0,1,0,0,0,2,1
3/27/20,HERKIMER,0,0,0,0,0,0,0,0,0
3/27/20,JEFFERSON,0,0,0,0,0,0,0,0,0
3/27/20,KINGS,3,1,1,145,165,246,278,217,97
3/27/20,LEWIS,0,0,0,0,0,0,0,0,0
3/27/20,LIVINGSTON,0,0,0,0,0,0,0,0,0
3/27/20,MADISON,0,0,0,0,0,0,1,0,0
3/27/20,MONROE,0,0,0,3,7,5,7,11,1
3/27/20,MONTGOMERY,0,0,0,0,0,1,2,0,0
3/27/20,NASSAU,0,0,1,92,140,212,200,159,97
3/27/20,NEW YORK,7,1,13,269,253,375,387,282,151
3/27/20,NIAGARA,0,0,0,1,0,1,0,0,0
3/27/20,ONEIDA,0,0,0,0,0,2,0,1,1
3/27/20,ONONDAGA,0,0,0,4,6,1,4,3,2
3/27/20,ONTARIO,0,0,0,1,0,0,3,0,0
3/27/20,ORANGE,0,0,0,3,18,12,17,7,10
3/27/20,ORLEANS,0,0,0,0,0,0,0,1,0
3/27/20,OSWEGO,0,0,0,0,0,0,0,0,0
3/27/20,OTSEGO,0,0,0,0,1,1,2,1,0
3/27/20,PUTNAM,0,0,0,1,0,2,3,5,1
3/27/20,QUEENS,1,0,4,229,246,308,271,194,86
3/27/20,RENSSELAER,0,0,0,0,0,0,0,1,0
3/27/20,RICHMOND,0,0,0,24,32,44,51,34,15
3/27/20,ROCKLAND,0,0,1,13,5,16,15,10,3
3/27/20,SARATOGA,0,0,0,0,1,2,2,1,0
3/27/20,SCHENECTADY,0,0,0,2,2,0,2,2,3
3/27/20,SCHOHARIE,0,0,0,0,0,0,0,0,0
3/27/20,SCHUYLER,0,0,0,0,0,0,0,0,0
3/27/20,ST.LAWRENCE,0,0,0,0,0,0,0,0,0
3/27/20,STEUBEN,0,0,0,0,0,0,0,0,0
3/27/20,SUFFOLK,0,0,0,41,77,84,94,69,44
3/27/20,SULLIVAN,0,0,0,1,0,0,2,1,0
3/27/20,TOMPKINS,0,0,0,2,0,0,0,0,0
3/27/20,ULSTER,0,0,0,0,1,1,1,2,2
3/27/20,WARREN,0,0,0,0,0,1,0,0,1
3/27/20,WAYNE,0,0,0,0,0,0,1,1,0
3/27/20,WESTCHESTER,0,0,2,44,56,86,86,60,49
3/27/20,WYOMING,0,0,0,0,0,0,0,0,0
3/27/20,YATES,0,0,0,0,0,0,0,0,0
3/28/20,ALBANY,0,0,0,4,2,7,13,4,1
3/28/20,ALLEGANY,0,0,0,0,0,0,0,0,0
3/28/20,BRONX,2,0,6,162,155,236,209,146,41
3/28/20,BROOME,0,0,0,2,2,1,1,1,0
3/28/20,CATTARAUGUS,0,0,0,1,0,0,0,0,0
3/28/20,CAYUGA,0,0,0,0,0,0,0,0,0
3/28/20,CHAUTAUQUA,0,0,0,0,0,0,0,0,0
3/28/20,CHEMUNG,0,0,0,0,0,0,1,1,0
3/28/20,CHENANGO,0,0,0,0,0,0,0,1,0
3/28/20,CLINTON,0,0,0,0,1,0,2,0,1
3/28/20,COLUMBIA,0,0,0,0,1,0,0,2,0
3/28/20,CORTLAND,0,0,0,0,0,0,0,0,0
3/28/20,DELAWARE,0,0,0,0,0,0,0,0,0
3/28/20,DUTCHESS,0,0,0,2,6,16,7,8,3
3/28/20,ERIE,0,0,2,19,14,20,19,10,5
3/28/20,ESSEX,0,0,0,0,0,0,0,0,0
3/28/20,FRANKLIN,0,0,0,0,0,0,0,0,0
3/28/20,FULTON,0,0,0,0,0,0,0,0,0
3/28/20,GENESEE,0,0,0,1,0,0,0,0,1
3/28/20,HERKIMER,0,0,0,0,0,0,0,0,0
3/28/20,JEFFERSON,0,0,0,0,0,0,0,0,0
3/28/20,KINGS,2,1,1,160,184,265,309,246,102
3/28/20,LEWIS,0,0,0,0,0,0,0,0,0
3/28/20,LIVINGSTON,0,0,0,0,0,0,0,0,0
3/28/20,MADISON,0,0,0,0,0,0,0,0,0
3/28/20,MONROE,0,0,0,3,7,6,12,13,1
3/28/20,MONTGOMERY,0,0,0,0,0,2,1,0,0
3/28/20,NASSAU,0,0,1,113,147,261,237,188,108
3/28/20,NEW YORK,8,1,20,321,266,441,460,339,169
3/28/20,NIAGARA,0,0,0,0,0,1,0,1,0
3/28/20,ONEIDA,0,0,0,0,0,3,1,2,1
3/28/20,ONONDAGA,0,0,0,2,6,3,5,5,4
3/28/20,ONTARIO,0,0,0,1,0,1,3,0,0
3/28/20,ORANGE,0,0,0,15,13,18,19,7,16
3/28/20,ORLEANS,0,0,0,0,0,0,0,0,0
3/28/20,OSWEGO,0,0,0,0,0,0,0,0,0
3/28/20,OTSEGO,0,0,0,0,1,1,2,1,0
3/28/20,PUTNAM,0,0,0,1,0,1,3,5,1
3/28/20,QUEENS,2,0,6,253,279,332,309,214,96
3/28/20,RENSSELAER,0,0,0,0,0,0,0,2,0
3/28/20,RICHMOND,0,0,1,25,40,58,60,50,25
3/28/20,ROCKLAND,0,0,1,16,9,18,18,12,9
3/28/20,SARATOGA,0,0,0,1,1,2,4,1,0
3/28/20,SCHENECTADY,0,0,0,2,2,0,3,2,3
3/28/20,SCHOHARIE,0,0,0,0,0,0,0,0,0
3/28/20,SCHUYLER,0,0,0,0,0,0,0,0,0
3/28/20,ST.LAWRENCE,0,0,0,0,0,0,0,0,0
3/28/20,STEUBEN,0,0,0,0,0,0,0,0,0
3/28/20,SUFFOLK,0,0,1,62,94,112,110,82,41
3/28/20,SULLIVAN,0,0,0,1,0,0,3,2,0
3/28/20,TOMPKINS,0,0,0,2,0,0,0,0,0
3/28/20,ULSTER,0,0,0,0,2,2,1,2,2
3/28/20,WARREN,0,0,0,1,0,0,0,1,0
3/28/20,WAYNE,0,0,0,0,0,0,1,0,0
3/28/20,WESTCHESTER,1,0,3,58,62,102,109,69,44
3/28/20,WYOMING,0,0,0,0,0,0,0,0,0
3/28/20,YATES,0,0,0,0,0,0,0,0,0
3/29/20,ALBANY,1,0,0,4,2,8,12,6,1
3/29/20,ALLEGANY,0,0,0,0,1,0,0,0,0
3/29/20,BRONX,5,1,4,159,184,232,238,155,42
3/29/20,BROOME,0,0,0,4,2,2,4,2,0
3/29/20,CATTARAUGUS,0,0,0,1,0,0,0,1,0
3/29/20,CAYUGA,0,0,0,0,0,0,0,0,0
3/29/20,CHAUTAUQUA,0,0,0,0,0,0,0,0,0
3/29/20,CHEMUNG,0,0,0,0,0,1,1,1,0
3/29/20,CHENANGO,0,0,0,0,0,0,0,1,0
3/29/20,CLINTON,0,0,0,0,1,0,2,0,1
3/29/20,COLUMBIA,0,0,0,0,3,0,2,3,0
3/29/20,CORTLAND,0,0,0,0,0,0,0,0,0
3/29/20,DELAWARE,0,0,0,0,0,0,0,0,0
3/29/20,DUTCHESS,0,0,0,4,8,20,8,10,2
3/29/20,ERIE,0,0,2,17,13,20,17,9,6
3/29/20,ESSEX,0,0,0,0,0,0,0,0,0
3/29/20,FRANKLIN,0,0,0,0,0,0,0,0,0
3/29/20,FULTON,0,0,0,0,0,0,0,0,0
3/29/20,GENESEE,0,0,0,0,0,0,0,0,1
3/29/20,HERKIMER,0,0,0,0,0,0,0,0,0
3/29/20,JEFFERSON,0,0,0,0,0,0,0,0,0
3/29/20,KINGS,2,1,1,180,209,294,325,286,129
3/29/20,LEWIS,0,0,0,0,0,0,0,1,1
3/29/20,LIVINGSTON,0,0,0,0,0,0,0,0,0
3/29/20,MADISON,0,0,0,0,0,0,1,0,0
3/29/20,MONROE,0,0,0,3,8,11,13,13,3
3/29/20,MONTGOMERY,0,0,0,0,0,2,1,0,0
3/29/20,NASSAU,0,0,1,112,161,284,287,200,122
3/29/20,NEW YORK,7,1,19,334,303,507,519,369,182
3/29/20,NIAGARA,0,0,0,1,0,0,0,1,0
3/29/20,ONEIDA,0,0,0,0,1,3,3,2,1
3/29/20,ONONDAGA,0,0,0,3,5,3,4,7,5
3/29/20,ONTARIO,0,0,0,1,0,1,1,0,0
3/29/20,ORANGE,0,0,0,17,16,19,22,11,19
3/29/20,ORLEANS,0,0,0,0,0,0,0,0,0
3/29/20,OSWEGO,0,0,0,0,0,0,0,0,0
3/29/20,OTSEGO,0,0,0,0,1,1,2,2,0
3/29/20,PUTNAM,0,0,0,3,0,2,5,5,1
3/29/20,QUEENS,5,1,5,267,299,363,349,240,107
3/29/20,RENSSELAER,0,0,0,0,0,0,0,2,0
3/29/20,RICHMOND,0,0,2,38,47,72,69,50,29
3/29/20,ROCKLAND,0,0,1,23,13,32,22,22,9
3/29/20,SARATOGA,0,0,0,1,0,1,4,1,0
3/29/20,SCHENECTADY,0,0,0,2,2,0,3,2,3
3/29/20,SCHOHARIE,0,0,0,0,0,0,0,0,0
3/29/20,SCHUYLER,0,0,0,0,0,0,0,0,0
3/29/20,ST.LAWRENCE,0,0,0,0,0,0,0,0,0
3/29/20,STEUBEN,0,0,0,0,0,0,0,0,0
3/29/20,SUFFOLK,0,0,1,74,109,128,134,99,56
3/29/20,SULLIVAN,0,0,0,1,0,0,4,2,0
3/29/20,TOMPKINS,0,0,0,1,0,0,0,0,0
